method,total,predicted,correct,coverage,accuracy,recall
method1_round2_extraction,70,17,9,24.285714285714285,52.94117647058824,12.857142857142856
traditional_method2_similarity_benchmark,70,64,17,91.42857142857143,26.5625,24.285714285714285
biobert_method2,70,30,1,42.857142857142854,3.3333333333333335,1.4285714285714286
pubmedbert_method2,70,30,1,42.857142857142854,3.3333333333333335,1.4285714285714286
scibert_method2,70,30,2,42.857142857142854,6.666666666666667,2.857142857142857
