method,total,predicted,correct,coverage,accuracy,recall
method1_round2_extraction,70,16,9,22.857142857142858,56.25,12.857142857142856
traditional_method2_similarity_benchmark,70,64,17,91.42857142857143,26.5625,24.285714285714285
biobert_method2,70,31,1,44.285714285714285,3.225806451612903,1.4285714285714286
pubmedbert_method2,70,31,1,44.285714285714285,3.225806451612903,1.4285714285714286
scibert_method2,70,31,2,44.285714285714285,6.451612903225806,2.857142857142857
