field,pred_mentions,gold_mentions,matched_mentions,precision,recall,f1
Anatomical Entity,238,330,176,0.7394957983193278,0.5333333333333333,0.619718309859155
Measurement,187,129,62,0.3315508021390374,0.4806201550387597,0.3924050632911393
Population,90,112,28,0.3111111111111111,0.25,0.27722772277227725
Symptom,95,180,77,0.8105263157894737,0.42777777777777776,0.56
Terms of Body Movements,140,306,99,0.7071428571428572,0.3235294117647059,0.4439461883408072
OVERALL,750,1057,442,0.5893333333333334,0.4181646168401135,0.4892086330935252
