field,pred_mentions,gold_mentions,matched_mentions,precision,recall,f1
Anatomical Entity,93,116,62,0.6666666666666666,0.5344827586206896,0.5933014354066986
Measurement,112,91,53,0.4732142857142857,0.5824175824175825,0.5221674876847291
Population,39,88,15,0.38461538461538464,0.17045454545454544,0.23622047244094488
Symptom,49,70,34,0.6938775510204082,0.4857142857142857,0.5714285714285714
Terms of Body Movements,68,126,44,0.6470588235294118,0.3492063492063492,0.4536082474226804
OVERALL,361,491,208,0.5761772853185596,0.42362525458248473,0.48826291079812206
OVERALL_EXCL_MEASUREMENT,249,400,155,0.6224899598393574,0.3875,0.47765793528505396
